Orthogroup	G_intestinalis_aa	G_muris_aa	S_salmonicida_aa
OG0004610	GL50803_6919		
OG0004611	GL50803_137718		
OG0004612	GL50803_20472		
OG0004613	GL50803_17284		
OG0004614	GL50803_9072		
OG0004615	GL50803_21156		
OG0004616	GL50803_6485		
OG0004617	GL50803_14223		
OG0004618	GL50803_17276		
OG0004619	GL50803_103895		
OG0004620	GL50803_15419		
OG0004621	GL50803_11448		
OG0004622	GL50803_11443		
OG0004623	GL50803_11438		
OG0004624	GL50803_15416		
OG0004625	GL50803_15936		
OG0004626	GL50803_3713		
OG0004627	GL50803_13427		
OG0004628	GL50803_3847		
OG0004629	GL50803_14807		
OG0004630	GL50803_8914		
OG0004631	GL50803_60275		
OG0004632	GL50803_9294		
OG0004633	GL50803_33898		
OG0004634	GL50803_2226		
OG0004635	GL50803_16428		
OG0004636	GL50803_6624		
OG0004637	GL50803_6666		
OG0004638	GL50803_14269		
OG0004639	GL50803_16426		
OG0004640	GL50803_112550		
OG0004641	GL50803_10400		
OG0004642	GL50803_3957		
OG0004643	GL50803_3958		
OG0004644	GL50803_17065		
OG0004645	GL50803_11174		
OG0004646	GL50803_33721		
OG0004647	GL50803_112572		
OG0004648	GL50803_13223		
OG0004649	GL50803_10912		
OG0004650	GL50803_10898		
OG0004651	GL50803_10893		
OG0004652	GL50803_60307		
OG0004653	GL50803_34126		
OG0004654	GL50803_25013		
OG0004655	GL50803_7706		
OG0004656	GL50803_13495		
OG0004657	GL50803_14897		
OG0004658	GL50803_23492		
OG0004659	GL50803_9198		
OG0004660	GL50803_14872		
OG0004661	GL50803_11684		
OG0004662	GL50803_11690		
OG0004663	GL50803_15475		
OG0004664	GL50803_11701		
OG0004665	GL50803_17546		
OG0004666	GL50803_15479		
OG0004667	GL50803_15013		
OG0004668	GL50803_9668		
OG0004669	GL50803_137706		
OG0004670	GL50803_9658		
OG0004671	GL50803_23634		
OG0004672	GL50803_4264		
OG0004673	GL50803_15944		
OG0004674	GL50803_16791		
OG0004675	GL50803_33863		
OG0004676	GL50803_28620		
OG0004677	GL50803_7685		
OG0004678	GL50803_32419		
OG0004679	GL50803_32686		
OG0004680	GL50803_6679		
OG0004681	GL50803_14275		
OG0004682	GL50803_15918		
OG0004683	GL50803_16162		
OG0004684	GL50803_5514		
OG0004685	GL50803_18559		
OG0004686	GL50803_2863		
OG0004687	GL50803_33629		
OG0004688	GL50803_24330		
OG0004689	GL50803_16323		
OG0004690	GL50803_3255		
OG0004691	GL50803_17200		
OG0004692	GL50803_11207		
OG0004693	GL50803_15367		
OG0004694	GL50803_11196		
OG0004695	GL50803_9210		
OG0004696	GL50803_23699		
OG0004697	GL50803_14905		
OG0004698	GL50803_23694		
OG0004699	GL50803_16700		
OG0004700	GL50803_1623		
OG0004701	GL50803_16693		
OG0004702	GL50803_2633		
OG0004703	GL50803_2631		
OG0004704	GL50803_16690		
OG0004705	GL50803_34151		
OG0004706	GL50803_25075		
OG0004707	GL50803_92651		
OG0004708	GL50803_19667		
OG0004709	GL50803_60433		
OG0004710	GL50803_60434		
OG0004711	GL50803_1499		
OG0004712	GL50803_761		
OG0004713	GL50803_4447		
OG0004714	GL50803_86680		
OG0004715	GL50803_9175		
OG0004716	GL50803_14891		
OG0004717	GL50803_9180		
OG0004718	GL50803_27652		
OG0004719	GL50803_16315		
OG0004720	GL50803_14478		
OG0004721	GL50803_19189		
OG0004722	GL50803_14100		
OG0004723	GL50803_16283		
OG0004724	GL50803_16765		
OG0004725	GL50803_6212		
OG0004726	GL50803_114651		
OG0004727	GL50803_60466		
OG0004728	GL50803_16479		
OG0004729	GL50803_2419		
OG0004730	GL50803_32668		
OG0004731	GL50803_16486		
OG0004732	GL50803_39117		
OG0004733	GL50803_90665		
OG0004734	GL50803_14534		
OG0004735	GL50803_16713		
OG0004736	GL50803_90659		
OG0004737	GL50803_7765		
OG0004738	GL50803_15030		
OG0004739	GL50803_16647		
OG0004740	GL50803_14284		
OG0004741	GL50803_32531		
OG0004742	GL50803_6535		
OG0004743	GL50803_21063		
OG0004744	GL50803_16813		
OG0004745	GL50803_60483		
OG0004746	GL50803_6291		
OG0004747	GL50803_6294		
OG0004748	GL50803_16821		
OG0004749	GL50803_3062		
OG0004750	GL50803_37620		
OG0004751	GL50803_9598		
OG0004752	GL50803_18713		
OG0004753	GL50803_9336		
OG0004754	GL50803_7198		
OG0004755	GL50803_6175		
OG0004756	GL50803_12866		
OG0004757	GL50803_16233		
OG0004758	GL50803_27739		
OG0004759	GL50803_6139		
OG0004760	GL50803_2118		
OG0004761	GL50803_12905		
OG0004762	GL50803_21435		
OG0004763	GL50803_9143		
OG0004764	GL50803_28737		
OG0004765	GL50803_9150		
OG0004766	GL50803_17446		
OG0004767	GL50803_9157		
OG0004768	GL50803_91354		
OG0004769	GL50803_3079		
OG0004770	GL50803_13200		
OG0004771	GL50803_102438		
OG0004772	GL50803_13774		
OG0004773	GL50803_60537		
OG0004774	GL50803_29229		
OG0004775	GL50803_17468		
OG0004776	GL50803_26199		
OG0004777	GL50803_14731		
OG0004778	GL50803_5532		
OG0004779	GL50803_17471		
OG0004780	GL50803_17472		
OG0004781	GL50803_2947		
OG0004782	GL50803_16916		
OG0004783	GL50803_15103		
OG0004784	GL50803_10063		
OG0004785	GL50803_9788		
OG0004786	GL50803_97072		
OG0004787	GL50803_17499		
OG0004788	GL50803_12095		
OG0004789	GL50803_17497		
OG0004790	GL50803_12063		
OG0004791	GL50803_15564		
OG0004792	GL50803_94662		
OG0004793	GL50803_11356		
OG0004794	GL50803_3021		
OG0004795	GL50803_107659		
OG0004796	GL50803_7285		
OG0004797	GL50803_103365		
OG0004798	GL50803_16444		
OG0004799	GL50803_14916		
OG0004800	GL50803_32766		
OG0004801	GL50803_9276		
OG0004802	GL50803_35487		
OG0004803	GL50803_10125		
OG0004804	GL50803_14127		
OG0004805	GL50803_6153		
OG0004806	GL50803_21088		
OG0004807	GL50803_17250		
OG0004808	GL50803_8716		
OG0004809	GL50803_17253		
OG0004810	GL50803_8704		
OG0004811	GL50803_14762		
OG0004812	GL50803_31331		
OG0004813	GL50803_12830		
OG0004814	GL50803_14510		
OG0004815	GL50803_7677		
OG0004816	GL50803_94224		
OG0004817	GL50803_15085		
OG0004818	GL50803_4540		
OG0004819	GL50803_112428		
OG0004820	GL50803_17125		
OG0004821	GL50803_17129		
OG0004822	GL50803_6458		
OG0004823	GL50803_2848		
OG0004824	GL50803_17134		
OG0004825	GL50803_17145		
OG0004826	GL50803_5629		
OG0004827	GL50803_60603		
OG0004828	GL50803_17140		
OG0004829	GL50803_10299		
OG0004830	GL50803_29140		
OG0004831	GL50803_94927		
OG0004832	GL50803_27635		
OG0004833	GL50803_24512		
OG0004834	GL50803_13393		
OG0004835	GL50803_6015		
OG0004836	GL50803_14381		
OG0004837	GL50803_28112		
OG0004838	GL50803_7154		
OG0004839	GL50803_16667		
OG0004840	GL50803_2170		
OG0004841	GL50803_60618		
OG0004842	GL50803_9530		
OG0004843	GL50803_17579		
OG0004844	GL50803_28022		
OG0004845	GL50803_13056		
OG0004846	GL50803_2555		
OG0004847	GL50803_5305		
OG0004848	GL50803_113970		
OG0004849	GL50803_11930		
OG0004850	GL50803_15537		
OG0004851	GL50803_11955		
OG0004852	GL50803_11956		
OG0004853	GL50803_11960		
OG0004854	GL50803_17593		
OG0004855	GL50803_28336		
OG0004856	GL50803_14567		
OG0004857	GL50803_26835		
OG0004858	GL50803_3746		
OG0004859	GL50803_17599		
OG0004860	GL50803_15989		
OG0004861	GL50803_14934		
OG0004862	GL50803_20195		
OG0004863	GL50803_28856		
OG0004864	GL50803_3867		
OG0004865	GL50803_17075		
OG0004866	GL50803_3467		
OG0004867	GL50803_2926		
OG0004868	GL50803_17216		
OG0004869	GL50803_22027		
OG0004870	GL50803_17219		
OG0004871	GL50803_7611		
OG0004872	GL50803_16772		
OG0004873	GL50803_3211		
OG0004874	GL50803_10758		
OG0004875	GL50803_15284		
OG0004876	GL50803_15285		
OG0004877	GL50803_2155		
OG0004878	GL50803_13438		
OG0004879	GL50803_10551		
OG0004880	GL50803_16560		
OG0004881	GL50803_8890		
OG0004882	GL50803_4046		
OG0004883	GL50803_14045		
OG0004884	GL50803_5873		
OG0004885	GL50803_100987		
OG0004886	GL50803_15386		
OG0004887	GL50803_40016		
OG0004888	GL50803_3307		
OG0004889	GL50803_26988		
OG0004890	GL50803_4152		
OG0004891	GL50803_15873		
OG0004892	GL50803_19223		
OG0004893	GL50803_101309		
OG0004894	GL50803_13735		
OG0004895	GL50803_7877		
OG0004896	GL50803_23874		
OG0004897	GL50803_14984		
OG0004898	GL50803_14988		
OG0004899	GL50803_14989		
OG0004900	GL50803_15080		
OG0004901	GL50803_9909		
OG0004902	GL50803_19631		
OG0004903	GL50803_28994		
OG0004904	GL50803_5273		
OG0004905	GL50803_13882		
OG0004906	GL50803_16110		
OG0004907	GL50803_16404		
OG0004908	GL50803_16405		
OG0004909	GL50803_6413		
OG0004910	GL50803_17439		
OG0004911	GL50803_17438		
OG0004912	GL50803_60748		
OG0004913	GL50803_17435		
OG0004914	GL50803_17434		
OG0004915	GL50803_17431		
OG0004916	GL50803_29081		
OG0004917	GL50803_15125		
OG0004918	GL50803_32332		
OG0004919	GL50803_60760		
OG0004920	GL50803_24126		
OG0004921	GL50803_11624		
OG0004922	GL50803_38519		
OG0004923	GL50803_19834		
OG0004924	GL50803_15444		
OG0004925	GL50803_6084		
OG0004926	GL50803_4816		
OG0004927	GL50803_4820		
OG0004928	GL50803_7600		
OG0004929	GL50803_7597		
OG0004930	GL50803_24139		
OG0004931	GL50803_5250		
OG0004932	GL50803_27423		
OG0004933	GL50803_17369		
OG0004934	GL50803_12229		
OG0004935	GL50803_12220		
OG0004936	GL50803_12213		
OG0004937	GL50803_6605		
OG0004938	GL50803_6602		
OG0004939	GL50803_60783		
OG0004940	GL50803_14250		
OG0004941	GL50803_60785		
OG0004942	GL50803_4690		
OG0004943	GL50803_4687		
OG0004944	GL50803_27699		
OG0004945	GL50803_6038		
OG0004946	GL50803_17379		
OG0004947	GL50803_4532		
OG0004948	GL50803_20594		
OG0004949	GL50803_14018		
OG0004950	GL50803_112810		
OG0004951	GL50803_2860		
OG0004952	GL50803_2861		
OG0004953	GL50803_4846		
OG0004954	GL50803_13747		
OG0004955	GL50803_8358		
OG0004956	GL50803_5450		
OG0004957	GL50803_16521		
OG0004958	GL50803_10932		
OG0004959	GL50803_10946		
OG0004960	GL50803_10950		
OG0004961	GL50803_13576		
OG0004962	GL50803_13622		
OG0004963	GL50803_7639		
OG0004964	GL50803_60903		
OG0004965	GL50803_11153		
OG0004966	GL50803_29424		
OG0004967	GL50803_96878		
OG0004968	GL50803_27055		
OG0004969	GL50803_27056		
OG0004970	GL50803_4324		
OG0004971	GL50803_15383		
OG0004972	GL50803_11248		
OG0004973	GL50803_11245		
OG0004974	GL50803_11231		
OG0004975	GL50803_17562		
OG0004976	GL50803_17560		
OG0004977	GL50803_16541		
OG0004978	GL50803_11640		
OG0004979	GL50803_29595		
OG0004980	GL50803_38104		
OG0004981	GL50803_137755		
OG0004982	GL50803_5879		
OG0004983	GL50803_3861		
OG0004984	GL50803_3449		
OG0004985	GL50803_1935		
OG0004986	GL50803_2328		
OG0004987	GL50803_7538		
OG0004988	GL50803_13601		
OG0004989	GL50803_15769		
OG0004990	GL50803_22133		
OG0004991	GL50803_16390		
OG0004992	GL50803_31144		
OG0004993	GL50803_13964		
OG0004994	GL50803_13963		
OG0004995	GL50803_5554		
OG0004996	GL50803_5553		
OG0004997	GL50803_3370		
OG0004998	GL50803_8218		
OG0004999	GL50803_41288		
OG0005000	GL50803_61044		
OG0005001	GL50803_14133		
OG0005002	GL50803_8195		
OG0005003	GL50803_4455		
OG0005004	GL50803_12953		
OG0005005	GL50803_17239		
OG0005006	GL50803_9003		
OG0005007	GL50803_9007		
OG0005008	GL50803_14834		
OG0005009	GL50803_14838		
OG0005010	GL50803_4038		
OG0005011	GL50803_4912		
OG0005012	GL50803_3290		
OG0005013	GL50803_3291		
OG0005014	GL50803_15589		
OG0005015	GL50803_12152		
OG0005016	GL50803_14182		
OG0005017	GL50803_14180		
OG0005018	GL50803_7137		
OG0005019	GL50803_7135		
OG0005020	GL50803_11050		
OG0005021	GL50803_8454		
OG0005022	GL50803_4341		
OG0005023	GL50803_17613		
OG0005024	GL50803_6340		
OG0005025	GL50803_6341		
OG0005026	GL50803_14248		
OG0005027	GL50803_27806		
OG0005028	GL50803_102921		
OG0005029	GL50803_87970		
OG0005030	GL50803_16801		
OG0005031	GL50803_11551		
OG0005032	GL50803_11554		
OG0005033	GL50803_11566		
OG0005034	GL50803_104984		
OG0005035	GL50803_1979		
OG0005036	GL50803_40863		
OG0005037	GL50803_16943		
OG0005038	GL50803_29147		
OG0005039	GL50803_101423		
OG0005040	GL50803_5779		
OG0005041	GL50803_5778		
OG0005042	GL50803_95693		
OG0005043	GL50803_101450		
OG0005044	GL50803_15521		
OG0005045	GL50803_11896		
OG0005046	GL50803_29682		
OG0005047	GL50803_137747		
OG0005048	GL50803_15515		
OG0005049	GL50803_24979		
OG0005050	GL50803_14741		
OG0005051	GL50803_14742		
OG0005052	GL50803_8609		
OG0005053	GL50803_87928		
OG0005054	GL50803_33020		
OG0005055	GL50803_10014		
OG0005056	GL50803_102688		
OG0005057	GL50803_19381		
OG0005058	GL50803_7718		
OG0005059	GL50803_5488		
OG0005060	GL50803_14289		
OG0005061	GL50803_6928		
OG0005062	GL50803_6927		
OG0005063	GL50803_14027		
OG0005064	GL50803_7397		
OG0005065	GL50803_6060		
OG0005066	GL50803_6056		
OG0005067	GL50803_14206		
OG0005068	GL50803_32235		
OG0005069	GL50803_137751		
OG0005070	GL50803_4622		
OG0005071	GL50803_4629		
OG0005072	GL50803_34023		
OG0005073	GL50803_14408		
OG0005074	GL50803_14407		
OG0005075	GL50803_93372		
OG0005076	GL50803_16414		
OG0005077	GL50803_15137		
OG0005078	GL50803_10162		
OG0005079	GL50803_103709		
OG0005080	GL50803_14216		
OG0005081	GL50803_14599		
OG0005082	GL50803_14604		
OG0005083	GL50803_23560		
OG0005084	GL50803_4984		
OG0005085	GL50803_13800		
OG0005086	GL50803_16159		
OG0005087	GL50803_13382		
OG0005088	GL50803_3528		
OG0005089	GL50803_14722		
OG0005090	GL50803_37353		
OG0005091	GL50803_17094		
OG0005092	GL50803_12989		
OG0005093	GL50803_16925		
OG0005094	GL50803_16923		
OG0005095	GL50803_10871		
OG0005096	GL50803_9307		
OG0005097	GL50803_10239		
OG0005098	GL50803_5063		
OG0005099	GL50803_32606		
OG0005100	GL50803_6616		
OG0005101	GL50803_6615		
OG0005102	GL50803_16986		
OG0005103	GL50803_12161		
OG0005104	GL50803_16862		
OG0005105	GL50803_16861		
OG0005106	GL50803_9132		
OG0005107	GL50803_9128		
OG0005108	GL50803_8329		
OG0005109	GL50803_8325		
OG0005110	GL50803_14681		
OG0005111	GL50803_14679		
OG0005112	GL50803_11389		
OG0005113	GL50803_24453		
OG0005114	GL50803_7261		
OG0005115	GL50803_101918		
OG0005116	GL50803_4873		
OG0005117	GL50803_14752		
OG0005118	GL50803_221691		
OG0005119	GL50803_17037		
OG0005120	GL50803_114210		
OG0005121	GL50803_10978		
OG0005122	GL50803_42328		
OG0005123	GL50803_8525		
OG0005124	GL50803_16457		
OG0005125	GL50803_61303		
OG0005126	GL50803_16875		
OG0005127	GL50803_8928		
OG0005128	GL50803_40747		
OG0005129	GL50803_41186		
OG0005130	GL50803_15292		
OG0005131	GL50803_10804		
OG0005132	GL50803_10803		
OG0005133	GL50803_17299		
OG0005134	GL50803_3951		
OG0005135	GL50803_2754		
OG0005136	GL50803_9620		
OG0005137	GL50803_22504		
OG0005138	GL50803_9622		
OG0005139	GL50803_17305		
OG0005140	GL50803_28635		
OG0005141	GL50803_8803		
OG0005142	GL50803_21341		
OG0005143	GL50803_12999		
OG0005144	GL50803_31439		
OG0005145	GL50803_16606		
OG0005146	GL50803_5806		
OG0005147	GL50803_9826		
OG0005148	GL50803_9823		
OG0005149	GL50803_21367		
OG0005150	GL50803_7968		
OG0005151	GL50803_7969		
OG0005152	GL50803_7970		
OG0005153	GL50803_4245		
OG0005154	GL50803_4246		
OG0005155	GL50803_6334		
OG0005156	GL50803_6331		
OG0005157	GL50803_14309		
OG0005158	GL50803_6886		
OG0005159	GL50803_33281		
OG0005160	GL50803_14313		
OG0005161	GL50803_20601		
OG0005162	GL50803_6508		
OG0005163	GL50803_6509		
OG0005164	GL50803_16256		
OG0005165	GL50803_137733		
OG0005166	GL50803_9090		
OG0005167	GL50803_10682		
OG0005168	GL50803_14434		
OG0005169	GL50803_8010		
OG0005170	GL50803_8004		
OG0005171	GL50803_40793		
OG0005172	GL50803_8389		
OG0005173	GL50803_8388		
OG0005174	GL50803_28514		
OG0005175	GL50803_101397		
OG0005176	GL50803_11743		
OG0005177	GL50803_11749		
OG0005178	GL50803_11752		
OG0005179	GL50803_20652		
OG0005180	GL50803_15496		
OG0005181	GL50803_15497		
OG0005182	GL50803_104870		
OG0005183	GL50803_14940		
OG0005184	GL50803_17079		
OG0005185	GL50803_5468		
OG0005186	GL50803_5474		
OG0005187	GL50803_8348		
OG0005188	GL50803_8349		
OG0005189	GL50803_14086		
OG0005190	GL50803_6010		
OG0005191	GL50803_8848		
OG0005192	GL50803_8847		
OG0005193	GL50803_36783		
OG0005194	GL50803_14966		
OG0005195	GL50803_9504		
OG0005196	GL50803_9506		
OG0005197	GL50803_9057		
OG0005198	GL50803_7653		
OG0005199	GL50803_7651		
OG0005200	GL50803_16205		
OG0005201	GL50803_221689		
OG0005202	GL50803_4977		
OG0005203	GL50803_22308		
OG0005204	GL50803_13283		
OG0005205	GL50803_87492		
OG0005206	GL50803_87461		
OG0005207	GL50803_8616		
OG0005208	GL50803_61549		
OG0005209	GL50803_7026		
OG0005210	GL50803_28069		
OG0005211	GL50803_28064		
OG0005212	GL50803_15820		
OG0005213	GL50803_22439		
OG0005214	GL50803_1590		
OG0005215	GL50803_16582		
OG0005216	GL50803_6148		
OG0005217	GL50803_16581		
OG0005218	GL50803_8958		
OG0005219	GL50803_8896		
OG0005220	GL50803_16674		
OG0005221	GL50803_14802		
OG0005222	GL50803_16677		
OG0005223	GL50803_8858		
OG0005224	GL50803_8862		
OG0005225	GL50803_35140		
OG0005226	GL50803_5116		
OG0005227	GL50803_17175		
OG0005228	GL50803_5981		
OG0005229	GL50803_7375		
OG0005230	GL50803_17168		
OG0005231	GL50803_11866		
OG0005232	GL50803_2201		
OG0005233	GL50803_17043		
OG0005234	GL50803_1875		
OG0005235	GL50803_2352		
OG0005236	GL50803_94150		
OG0005237	GL50803_5950		
OG0005238	GL50803_14070		
OG0005239	GL50803_5938		
OG0005240	GL50803_14014		
OG0005241	GL50803_23424		
OG0005242	GL50803_112235		
OG0005243	GL50803_17336		
OG0005244	GL50803_15139		
OG0005245	GL50803_103175		
OG0005246	GL50803_17328		
OG0005247	GL50803_23439		
OG0005248	GL50803_15247		
OG0005249	GL50803_10571		
OG0005250	GL50803_10568		
OG0005251	GL50803_9859		
OG0005252	GL50803_9858		
OG0005253	GL50803_9857		
OG0005254	GL50803_17266		
OG0005255	GL50803_9851		
OG0005256	GL50803_9846		
OG0005257	GL50803_14636		
OG0005258	GL50803_16435		
OG0005259	GL50803_61646		
OG0005260	GL50803_7524		
OG0005261	GL50803_7521		
OG0005262	GL50803_7513		
OG0005263	GL50803_10217		
OG0005264	GL50803_14691		
OG0005265	GL50803_8371		
OG0005266	GL50803_9483		
OG0005267	GL50803_4579		
OG0005268	GL50803_4578		
OG0005269	GL50803_27141		
OG0005270	GL50803_4571		
OG0005271	GL50803_24488		
OG0005272	GL50803_2342		
OG0005273	GL50803_2341		
OG0005274	GL50803_2340		
OG0005275	GL50803_5926		
OG0005276	GL50803_27028		
OG0005277	GL50803_4202		
OG0005278	GL50803_61675		
OG0005279	GL50803_7411		
OG0005280	GL50803_7413		
OG0005281	GL50803_7414		
OG0005282	GL50803_16723		
OG0005283	GL50803_61706		
OG0005284	GL50803_5999		
OG0005285	GL50803_16833		
OG0005286	GL50803_15306		
OG0005287	GL50803_10855		
OG0005288	GL50803_15307		
OG0005289	GL50803_30474		
OG0005290	GL50803_10444		
OG0005291	GL50803_3855		
OG0005292	GL50803_13469		
OG0005293	GL50803_17501		
OG0005294	GL50803_27658		
OG0005295	GL50803_5911		
OG0005296	GL50803_10821		
OG0005297	GL50803_10825		
OG0005298	GL50803_10829		
OG0005299	GL50803_10832		
OG0005300	GL50803_17507		
OG0005301	GL50803_15154		
OG0005302	GL50803_10269		
OG0005303	GL50803_6583		
OG0005304	GL50803_3116		
OG0005305	GL50803_8250		
OG0005306	GL50803_17516		
OG0005307	GL50803_8063		
OG0005308	GL50803_8055		
OG0005309	GL50803_8051		
OG0005310	GL50803_26679		
OG0005311	GL50803_2483		
OG0005312		GMRT_14509	
OG0005313		GMRT_14507	
OG0005314		GMRT_11006	
OG0005315		GMRT_10994	
OG0005316		GMRT_10974	
OG0005317		GMRT_10973	
OG0005318		GMRT_10965	
OG0005319		GMRT_20123	
OG0005320		GMRT_20126	
OG0005321		GMRT_10957	
OG0005322		GMRT_11367	
OG0005323		GMRT_11140	
OG0005324		GMRT_11144	
OG0005325		GMRT_20151	
OG0005326		GMRT_11149	
OG0005327		GMRT_15983	
OG0005328		GMRT_20209	
OG0005329		GMRT_20210	
OG0005330		GMRT_10250	
OG0005331		GMRT_10244	
OG0005332		GMRT_20265	
OG0005333		GMRT_10203	
OG0005334		GMRT_11690	
OG0005335		GMRT_11679	
OG0005336		GMRT_11677	
OG0005337		GMRT_fx003	
OG0005338		GMRT_11675	
OG0005339		GMRT_11666	
OG0005340		GMRT_11664	
OG0005341		GMRT_11659	
OG0005342		GMRT_11654	
OG0005343		GMRT_11650	
OG0005344		GMRT_11636	
OG0005345		GMRT_jh012	
OG0005346		GMRT_13991	
OG0005347		GMRT_13993	
OG0005348		GMRT_16278	
OG0005349		GMRT_16296	
OG0005350		GMRT_16304	
OG0005351		GMRT_16309	
OG0005352		GMRT_16311	
OG0005353		GMRT_fx001	
OG0005354		GMRT_16340	
OG0005355		GMRT_16342	
OG0005356		GMRT_16344	
OG0005357		GMRT_16354	
OG0005358		GMRT_16357	
OG0005359		GMRT_11438	
OG0005360		GMRT_20545	
OG0005361		GMRT_11457	
OG0005362		GMRT_11459	
OG0005363		GMRT_11465	
OG0005364		GMRT_11473	
OG0005365		GMRT_11485	
OG0005366		GMRT_11494	
OG0005367		GMRT_11507	
OG0005368		GMRT_15513	
OG0005369		GMRT_15519	
OG0005370		GMRT_15522	
OG0005371		GMRT_15529	
OG0005372		GMRT_10294	
OG0005373		GMRT_10311	
OG0005374		GMRT_10326	
OG0005375		GMRT_15878	
OG0005376		GMRT_jh006	
OG0005377		GMRT_15895	
OG0005378		GMRT_15901	
OG0005379		GMRT_13534	
OG0005380		GMRT_13536	
OG0005381		GMRT_13542	
OG0005382		GMRT_13551	
OG0005383		GMRT_20794	
OG0005384		GMRT_13602	
OG0005385		GMRT_13606	
OG0005386		GMRT_13610	
OG0005387		GMRT_13615	
OG0005388		GMRT_10383	
OG0005389		GMRT_10370	
OG0005390		GMRT_10369	
OG0005391		GMRT_10367	
OG0005392		GMRT_10364	
OG0005393		GMRT_11105	
OG0005394		GMRT_11100	
OG0005395		GMRT_fx011	
OG0005396		GMRT_11089	
OG0005397		GMRT_11076	
OG0005398		GMRT_11073	
OG0005399		GMRT_12932	
OG0005400		GMRT_12929	
OG0005401		GMRT_14298	
OG0005402		GMRT_14275	
OG0005403		GMRT_14270	
OG0005404		GMRT_14263	
OG0005405		GMRT_14253	
OG0005406		GMRT_14233	
OG0005407		GMRT_14217	
OG0005408		GMRT_14194	
OG0005409		GMRT_14193	
OG0005410		GMRT_21097	
OG0005411		GMRT_14181	
OG0005412		GMRT_12998	
OG0005413		GMRT_21160	
OG0005414		GMRT_10395	
OG0005415		GMRT_21163	
OG0005416		GMRT_21169	
OG0005417		GMRT_fx004	
OG0005418		GMRT_11378	
OG0005419		GMRT_11376	
OG0005420		GMRT_11371	
OG0005421		GMRT_13078	
OG0005422		GMRT_13090	
OG0005423		GMRT_16107	
OG0005424		GMRT_14096	
OG0005425		GMRT_jh011	
OG0005426		GMRT_jh010	
OG0005427		GMRT_10940	
OG0005428		GMRT_10936	
OG0005429		GMRT_10926	
OG0005430		GMRT_10920	
OG0005431		GMRT_10918	
OG0005432		GMRT_10917	
OG0005433		GMRT_10912	
OG0005434		GMRT_12709	
OG0005435		GMRT_13095	
OG0005436		GMRT_13097	
OG0005437		GMRT_13112	
OG0005438		GMRT_13113	
OG0005439		GMRT_12307	
OG0005440		GMRT_12302	
OG0005441		GMRT_12297	
OG0005442		GMRT_21392	
OG0005443		GMRT_12291	
OG0005444		GMRT_12274	
OG0005445		GMRT_21426	
OG0005446		GMRT_12250	
OG0005447		GMRT_12248	
OG0005448		GMRT_12247	
OG0005449		GMRT_12245	
OG0005450		GMRT_21448	
